Function	File	Description	Link	
abund.manycensus	abundance/abundance.r	Collect abundances of all species a...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/abund.manycensus'>Help</a>	
abundance	abundance/abundance.r	Calculates total abundance or basal...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/abundance'>Help</a>	
abundance.spp	abundance/abundance.r	A wrapper to calculate total abunda...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/abundance.spp'>Help</a>	
abundanceperquad	abundance/abundance.r	Finds abundance, basal area, or agb...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/abundance~slash~abundance.r/abundanceperquad'>Help</a>	
abundmodel.fit	demogchange/abund.fit.CTFS.r	Simply return the modeled histogram...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/demogchange~slash~abund.fit.CTFS.r/abundmodel.fit'>Help</a>	
addBinParam	utilities/distributions.r	Given parameters for a model with N...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/utilities~slash~distributions.r/addBinParam'>Help</a>	
agb.dbhmodel	biomass/biomass.CTFSdb.r	Calculates biomass from density and...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/agb.dbhmodel'>Help</a>	
AGB.dbtable	biomass/biomass.CTFSdb.r	This function looks up the database...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/AGB.dbtable'>Help</a>	
AGB.ind	biomass/biomass.CTFSdb.r	Compute biomass (agb) based on one ...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/AGB.ind'>Help</a>	
agb.model	biomass/biomass.CTFSdb.r	Calculates biomass from density, he...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/agb.model'>Help</a>	
AGB.tree	biomass/biomass.CTFSdb.r	Computes AGB of each tree in a tabl...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/biomass~slash~biomass.CTFSdb.r/AGB.tree'>Help</a>	
allquadratslopes	topography/slope.r	Calculating slope of all quadrats i...	<a href='http://ctfs.si.edu/Public/CTFSRPackage/index.php/web/topics/topography~slash~slope.r/allquadratslopes'>Help</a>	
