# https://github.com/forestgeo/forestr/issues/32

# This data is on a google sheet owned by Mauro Lepore <maurolepore@gmail.com>
# at https://goo.gl/oiZVho.
# The data were edited by "McMahon, Sean" <mcmahons@si.edu> and Gabriel 
# Arellano <gabriel.arellano.torres@gmail.com>.
# The data were discussed among Sean, Gabriel "Davies, Stuart J." 
# <daviess@si.edu> and Mauro.
# Then, Mauro changed the privilege of Sean and Gabriel over the data so they
# can view it. Should priorities change, Mauro to be notified so he can adapt
# his work accordingly.
# The data were downloaded on the same day, about 30 minutes after the
# discussion finished.



folder,file,fun,decision,notes
abundance,abundance,abund.manycensus,key,
abundance,abundance,abundance,key,
abundance,abundance,abundance.spp,key,
abundance,abundance,abundanceperquad,key,
abundance,abundance,ba,keep,
abundance,abundance,basum,keep,
abundance,abundance,pop.change,keep,
abundance,abundance,pop.change.dbh,keep,
biomass,biomass.CTFSdb,agb.dbhmodel,keep,
biomass,biomass.CTFSdb,AGB.dbtable,look later,flag1
biomass,biomass.CTFSdb,AGB.ind,check,flag1
biomass,biomass.CTFSdb,agb.model,wait,
biomass,biomass.CTFSdb,AGB.tree,think more,multi vs main
biomass,biomass.CTFSdb,biomass.change,keep,
biomass,biomass.CTFSdb,biomass.CTFSdb,check,flag1
biomass,biomass.CTFSdb,Chave.AGB,check,flag1
biomass,biomass.CTFSdb,density_ind,helpful,merge into more general trait functions?
biomass,biomass.CTFSdb,predht.asym,not a priority,very Rick-specific
demogchange,abund.fit.CTFS,abundmodel.fit,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,bad.asymexp.param,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,bad.asympower.param,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,find.xaxis.hist,low,"graphics, exploratory"
demogchange,abund.fit.CTFS,fitSeveralAbundModel,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,full.abundmodel.llike,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,graph.abundmodel,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,hyper.abundGibbs,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,hyper.mortGibbs,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,model.littleR.Gibbs,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,prob.N1,low,"this was done for a paper, deprecate"
demogchange,abund.fit.CTFS,spmean.mort.abundGibbs,low,"this was done for a paper, deprecate"
demogchange,demogChange,calcMortIndivTable,high,"the census interval correction by Sheill & May 1996? requires some improvement, maintenance"
demogchange,demogChange,individual_grow.table,high,"the census interval correction by Sheill & May 1996? requires some improvement, maintenance"
demogchange,demogChange,individual_mort.table,high,"the census interval correction by Sheill & May 1996? requires some improvement, maintenance"
demogchange,demogChange,lmerMortFixedTime,low,model
demogchange,demogChange,lmerMortLinear,low,model
growth,growth,biomass.growth,high,
growth,growth,DBHtransition,keep,"check for the binning method, cm vs mm, fix assumptions"
growth,growth,growth,functions for growth are important,but the structure and the approach needs to be rethought
growth,growth,growth.biomass.indiv,functions for growth are important,
growth,growth,growth.dbh,functions for growth are important,
growth,growth,growth.eachspp,functions for growth are important,
growth,growth,growth.indiv,highest,
growth,growth,trim.growth,to remove,how to handle outliers?
growth,growthfit.bin,assembleBinOutput,try to deprecate,think about binning in a more general context
growth,growthfit.bin,bad.binparam,try to deprecate,
growth,growthfit.bin,bad.binsdpar,try to deprecate,
growth,growthfit.bin,calculateBinModel.AIC,try to deprecate,
growth,growthfit.bin,calculateBinModel.bestpred,try to deprecate,
growth,growthfit.bin,calculateBinModel.BIC,try to deprecate,
growth,growthfit.bin,defineBinBreaks,try to deprecate,
growth,growthfit.bin,defineSDpar,try to deprecate,
growth,growthfit.bin,enoughSamplePerBin,try to deprecate,
growth,growthfit.bin,extract.growthdata,try to deprecate,
growth,growthfit.bin,growth.flexbin,try to deprecate,
growth,growthfit.bin,llike.linearbin.optim,try to deprecate,
growth,growthfit.bin,run.growthbin.manyspp,try to deprecate,
growth,growthfit.bin,run.growthfit.bin,try to deprecate,
growth,growthfit.bin,wideEnoughBins,try to deprecate,
growth,growthfit.graph,binGraphManySpecies,low,
growth,growthfit.graph,binGraphManySpecies.Panel,low,
growth,growthfit.graph,binGraphSampleSpecies,low,
growth,growthfit.graph,compare.growthbinmodel,low,
growth,growthfit.graph,graph.growthmodel,low,
growth,growthfit.graph,graph.growthmodel.spp,low,
growth,growthfit.graph,graph.outliers,low,
growth,growthfit.graph,graph.outliers.spp,low,
growth,growthfit.graph,overlay.growthbinmodel,low,
map,map,complete.plotmap,high,
map,map,define.graphwindow,deprecate,
map,map,get.filename,deprecate,
