RB_NO3,RB_NH4,RB_PO4,Al,pH_water,Na,Mn,Mg,K,Fe,Ca,BS,ECEC,Bray_P,meanelev,convex,slope
38.1183575,14.0247295,0.29036638,0.2653886,5.7068852,4.24959e-6,0.02355666,0.48029526,0.16651427,9.70257e-6,1.01413646,0.85066318,2.04815537,4.88894042,152.619375,0.395625,9.4023072388953
37.6445911,12.9009708,0.29530652,0.29010951,5.68296146,3.92321e-6,0.02396195,0.49179293,0.17081696,1.16542e-5,1.0520401,0.83972931,2.05342513,4.88900257,149.776375,-0.532375,11.837282799328
37.843166,11.8990935,0.31183986,0.34438493,5.60503083,3.1781e-6,0.02802107,0.50615342,0.18731528,1.41739e-5,1.08043471,0.81631304,2.1609073,4.96551623,147.256,-1.95,11.064807058989
35.1174906,11.0757531,0.33496844,0.41092574,5.58461884,1.05188e-6,0.02861206,0.50338378,0.19767583,1.74376e-5,0.90868666,0.78637606,2.12981401,4.94938663,145.98475,-0.10475,11.843922985451
31.0331654,10.416937,0.35495443,0.44164752,5.64361522,2.07116e-6,0.02385175,0.47567542,0.1931228,2.15022e-5,0.68531886,0.76399256,1.9448618,4.76883385,142.921875,0.601625,16.917555581125
29.4024651,9.90994465,0.37272125,0.34458608,5.6687647,5.38237e-6,0.0200065,0.43973208,0.18189689,2.61668e-5,0.60267069,0.78039872,1.78971318,4.62859744,137.853875,-0.165375,16.461118322098
29.6876909,9.56320725,0.39348084,0.22419495,5.67717897,4.40695e-6,0.01954617,0.41491103,0.17008114,3.14177e-5,0.65898863,0.81947582,1.63365767,4.51555964,133.097375,-0.627875,15.661125344037
29.0966541,9.35085538,0.4129391,0.18882562,5.6597802,3.95468e-6,0.02090921,0.40305614,0.15290202,3.87415e-5,0.75567232,0.83006286,1.57066925,4.49426317,127.317375,0.057125,19.99148904334
27.2460305,9.22300391,0.42825649,0.22365827,5.58090487,6.79674e-6,0.02185301,0.38513987,0.13854119,4.85558e-5,0.8023776,0.80389735,1.62373621,4.56909259,122.3675,-0.607,8.6747277425154
26.6091712,8.98682999,0.42913263,0.26646973,5.53754231,5.51501e-6,0.0209431,0.37672529,0.13871176,0.00005341,0.8013882,0.78049972,1.60761259,4.59022565,120.326375,-0.852875,4.0447176913807
25.7282569,8.57145923,0.40995244,0.29864309,5.51723585,4.89383e-6,0.01826173,0.3683987,0.15790637,4.8973e-5,0.69108465,0.77842464,1.54568211,4.59502468,118.86875,-1.64725,9.5767317758222
22.3102359,8.26830672,0.40076747,0.34802283,5.52417312,7.36272e-7,0.01701388,0.35018728,0.17013007,4.33469e-5,0.5646138,0.7370022,1.58134296,4.67576229,117.569375,-0.183875,11.53445747791
20.0263674,8.26670935,0.40634256,0.45583082,5.43108101,3.50832e-7,0.01637326,0.29545745,0.15526899,3.93447e-5,0.34703114,0.65219911,1.47072655,4.78844085,116.335625,-0.448125,9.9134152017575
21.4619189,8.52257563,0.4258051,0.5495825,5.34592762,2.00983e-6,0.01566273,0.24936727,0.1275619,3.68462e-5,0.22954398,0.58116031,1.27884531,4.78599416,115.691,-1.5825,9.5347195098605
23.7025197,8.86955113,0.45386592,0.53860002,5.31795093,1.43751e-6,0.01511134,0.22534562,0.11090478,0.00003472,0.24824345,0.56351561,1.18037481,4.74863248,116.136375,0.120625,9.2622006786521
24.3534689,8.9157625,0.47906319,0.41155105,5.35127119,-2.7346e-7,0.01489399,0.22922743,0.11192805,3.46776e-5,0.37776175,0.61692576,1.22707924,4.77054924,115.60425,0.13825,6.295913442598
24.3979146,8.61067026,0.49738179,0.31343934,5.49465769,-6.2116e-7,0.01410162,0.27345444,0.12839659,3.76328e-5,0.60859203,0.70468153,1.49121976,4.8609683,114.276625,-1.914125,11.907641766586
22.9240806,8.4011194,0.50764946,0.36342655,5.50678273,-1.0465e-6,0.01392996,0.30768347,0.14766311,4.34311e-5,0.62460088,0.70765544,1.62443042,4.95623262,113.8415,-0.477,17.752808673684
20.488234,8.35651449,0.51370823,0.56450386,5.4016947,-1.5458e-6,0.01431895,0.31962204,0.15490199,5.28666e-5,0.48196538,0.61855809,1.64474239,5.09287516,115.30275,-0.94425,24.88449724935
19.7979274,8.58461482,0.53229443,0.71513481,5.35611233,-2.6522e-6,0.01337268,0.3082775,0.1488755,5.9606e-5,0.38083684,0.57340102,1.60585782,5.13928264,116.649625,1.334875,20.057298162133
38.5107234,13.4810001,0.27096669,0.26448006,5.69002352,6.09406e-6,0.02324729,0.45702977,0.17283569,7.00839e-6,0.96675922,0.85120967,2.01371039,4.91011742,155.38725,-0.25225,11.061674256915
37.5460524,12.376493,0.27872449,0.27007387,5.67452449,1.43759e-5,0.02216539,0.46939766,0.17965281,8.62123e-6,1.07197082,0.84385348,2.04484556,4.91643534,152.851,-0.611703125,13.189775213577
36.8329521,11.3396611,0.30638459,0.31772484,5.60020011,3.54741e-5,0.02483593,0.49245846,0.20176018,1.08356e-5,1.08223769,0.83275218,2.2851851,5.05088035,151.051125,0.161125,11.983361074468
33.9226876,10.5389443,0.34440758,0.44783321,5.54669856,0.0000175,0.02554852,0.49432746,0.21790731,0.00001381,0.96110249,0.78633666,2.30337643,5.15224102,148.823,1.60059375,12.675955181796
31.4299247,9.8608514,0.36223505,0.50635518,5.59828034,5.42518e-5,0.02200329,0.47366382,0.21427418,1.79261e-5,0.72435945,0.7399231,2.07069526,4.89794257,142.68275,0.230515625,23.888236492705
30.326814,9.38348924,0.37790314,0.38342747,5.64619914,0.00010976,0.01817534,0.44432283,0.20445619,0.00002212,0.62618479,0.76890937,1.89889514,4.70763448,135.270875,-1.883078125,17.820952010096
30.5371545,9.1078111,0.4005425,0.2098961,5.69237218,9.95932e-5,0.01634478,0.42800187,0.19330618,2.64026e-5,0.70253964,0.84265717,1.74906642,4.5600933,130.434125,-1.7636875,11.779072770581
29.9704402,8.96919881,0.42110333,0.15062427,5.68777779,8.3804e-5,0.01833693,0.42301327,0.17163923,3.30448e-5,0.86725795,0.85870222,1.68641175,4.53766315,127.071625,-1.11271875,10.839748116324
28.0846808,8.90854173,0.43535945,0.21570275,5.59658794,9.8038e-5,0.02365762,0.40243363,0.15246851,4.28229e-5,0.85164196,0.8237226,1.73044576,4.64095707,124.027875,-1.09846875,11.091064750519
27.273749,8.72109331,0.43345104,0.31221048,5.5321341,0.00010029,0.02382057,0.3931407,0.14850825,4.77756e-5,0.81820369,0.78308848,1.71573733,4.66806537,122.114875,-0.660640625,8.8408924058112
26.8159136,8.30235455,0.41153717,0.34195602,5.49702976,7.59828e-5,0.01992949,0.37993184,0.17043802,4.24722e-5,0.69605954,0.76783282,1.63151839,4.67027719,121.08425,0.19028125,7.0163418912206
23.3744387,7.94363662,0.40262158,0.35954575,5.50176145,2.63638e-5,0.01703567,0.35621875,0.18098016,3.58864e-5,0.57461072,0.74468705,1.64206176,4.7738605,119.38425,0.112609375,7.5345035379424
20.1235687,7.89354491,0.41266966,0.41387058,5.40286153,2.12114e-5,0.01633628,0.28928767,0.163701,0.00003162,0.35377764,0.66751502,1.48645263,4.92265688,117.84875,-0.397265625,6.996221482956
21.5653987,8.11789713,0.43793183,0.49182639,5.32893966,2.38444e-5,0.0153646,0.24184153,0.13386653,2.85759e-5,0.2380096,0.5884352,1.27117875,4.92357527,118.03625,-0.00621875,5.7089741671784
24.8717221,8.43689069,0.47181848,0.4899026,5.34635042,1.02321e-5,0.01427767,0.22889111,0.11770084,0.00002564,0.24320562,0.58292951,1.21485829,4.87457816,118.500625,0.323578125,6.136106308902
25.6446878,8.4559864,0.50089936,0.37400892,5.39484648,2.19531e-6,0.01479869,0.23301437,0.12446134,2.43065e-5,0.35141028,0.64479026,1.25885619,4.88548603,117.039625,-1.430421875,11.133303189
25.0256917,8.12226822,0.5205404,0.27594641,5.52950789,4.93767e-7,0.01444876,0.27650698,0.14307208,2.51556e-5,0.57592918,0.73247384,1.4109323,4.96016075,116.919,-1.825265625,12.49035647181
23.4812994,7.88292753,0.53022374,0.31504034,5.55616485,3.58827e-8,0.01432271,0.32020209,0.17028447,2.85987e-5,0.63202018,0.74555615,1.56153326,5.07066268,119.6305,0.633375,17.476953619299
22.052086,7.79020523,0.53080127,0.48905272,5.51120816,-7.7912e-8,0.01362644,0.35427315,0.18648072,3.49274e-5,0.53337646,0.67321199,1.72981593,5.22998968,121.27975,2.456328125,15.088276597937
21.5897097,8.02412911,0.55243205,0.61956212,5.45093767,-7.9916e-7,0.01264127,0.34400323,0.17759507,3.98565e-5,0.44938907,0.62613831,1.73774582,5.29934555,119.27425,1.49925,12.890396766281
39.2249901,13.1012204,0.25095558,0.2625911,5.58892747,6.87972e-6,0.02710835,0.43103125,0.18888344,5.08639e-6,0.93100168,0.83918153,1.9459286,4.89552279,159.6295,-0.317,16.396691148532
36.3357846,12.057185,0.26162007,0.25005157,5.59394652,3.98545e-5,0.02388256,0.43812601,0.19536895,6.48226e-6,1.00094205,0.84484035,1.94398406,4.87246604,157.121125,-0.14578125,15.301490270258
33.8201976,10.8964647,0.30638165,0.2778974,5.68676685,0.00093638,0.0223036,0.48074927,0.21186878,8.57764e-6,1.10093979,0.85706948,2.39433287,4.9501562,154.860875,0.858234375,11.287117836602
33.0006652,10.0264393,0.34616698,0.38555906,5.6214218,0.00261175,0.02207424,0.47970308,0.2265387,0.00001171,0.94001337,0.81319045,2.49345976,5.02714734,150.446875,1.05309375,19.929669247944
33.793956,9.37947798,0.36350497,0.50715417,5.39633298,0.00441672,0.02227258,0.44909365,0.22454292,0.0000164,0.6820057,0.74637129,2.24854628,5.0226722,142.575,-1.182125,23.857748586564
34.3340122,8.99557299,0.38016046,0.39776594,5.48861569,0.00495931,0.02028421,0.44361152,0.22132705,0.00001982,0.67870826,0.76893483,2.11185518,4.87900338,135.741625,-2.349015625,16.432722647055
